@relation master

@attribute Title string
@attribute Major {1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,99.0,26.0,27.0}
@attribute Subtopic numeric

@data
'to encourage members of congress and the executive branch to be honest with the public about true onbudget circumstances to exclude the social security trust funds and the medicare hospital insurance trust fund from the annual federal budget',1.0,105
'to amend the congressional budget act of 1974 to make the budget process more transparent',1.0,105
'to amend the balanced budget and emergency deficit control act of 1985 to provide for sequestration of federal spending in excess of 18 percent of gross domestic product',1.0,105
'to provide for reconciliation pursuant to section 104 of the concurrent resolution on the budget for fiscal year 2002',1.0,105
'to establish the national commission on budget concepts',1.0,105
'to amend the balanced budget and emergency deficit control act of 1985 to require a sequestration of discretionary nondefense spending for fiscal year 2002 equal to the size of any onbudget deficit for fiscal year 2001',1.0,105
'to revise the discretionary spending limits for fiscal year 2002 set forth in the balanced budget and emergency deficit control act of 1985 and to make conforming changes respecting the appropriate section 302a allocation for fiscal year 2002',1.0,105
'to amend the balanced budget and emergency deficit control act of 1985 and the congressional budget act of 1974 to extend the discretionary spending caps and the payasyougo requirement and for other purposes',1.0,105
'to increase the statutory debt limit and to require a presidential plan to restore balanced budgets and protect social security',1.0,105
'to provide a responsible increase in the debt limit restore fiscal discipline and safeguard social security',1.0,105
'to amend the balanced budget and emergency deficit control act of 1985 to extend the discretionary spending limits through fiscal year 2007',1.0,105
'to protect the social security trust funds by ensuring that the government repays its debts to the trust funds',1.0,105
'to reform federal budget procedures to restrain congressional spending foster greater oversight of the budget account for accurate government agency costs and for other purposes',1.0,105
'to amend the balanced budget and emergency deficit control act of 1985 to extend the payasyougo provisions through fiscal year 2007 and for other purposes',1.0,105
'to direct the director of the office of management and budget to reduce preexisting balances on the paygo scorecard for fiscal years 2002 and 2003 to zero and to extend the statutory budget disciplines through fiscal year 2007',1.0,105
'to reduce preexisting paygo balances and for other purposes',1.0,105
'to amend the internal revenue code of 1986 to reduce individual income tax rates',1.0,107
'to amend the internal revenue code of 1986 to reduce the marriage penalty by providing for adjustments to the standard deduction the 15percent rate bracket and the earned income credit to increase the child credit and for other purposes',1.0,107
'to provide incentives for charitable contributions by individuals and businesses to improve the effectiveness and efficiency of government program delivery to individuals and families in need and to enhance the ability of lowincome americans',1.0,107
'to amend the internal revenue code of 1986 to phaseout the estate and gift taxes over a 10year period and for other purposes',1.0,107
'to amend the internal revenue code of 1986 to provide maximum rates of tax on capital gains of 15 percent for individuals and 28 percent for corporations and to index the basis of assets of individuals for purposes of determining gains and loss',1.0,107
'to amend the internal revenue code of 1986 to reduce estate and gift tax rates and for other purposes',1.0,107
'to amend the internal revenue code of 1986 to restructure and replace the income tax system of the united states to meet national priorities and for other purposes',1.0,107
'to amend the internal revenue code of 1986 to increase the unified credit against estate and gift taxes to the equivalent of a 5000000 exclusion and to increase the annual gift exclusion to 30000',1.0,107
'to amend the internal revenue code of 1986 to repeal the estate and gift taxes',1.0,107
'to repeal the federal estate and gift taxes',1.0,107
'to amend the internal revenue code of 1986 to provide that the 500000 exclusion of gain on the sale of a principal residence shall apply to certain sales by a surviving spouse',1.0,107
'to amend the internal revenue code of 1986 to adjust the exclusion amount on the gain from the sale of a principal residence for inflation',1.0,107
'to amend the internal revenue code of 1986 to allow individuals an exclusion from gross income for certain amounts of capital gains distributions from regulated investment companies',1.0,107
'to amend the internal revenue code of 1986 to increase the deduction for host families of foreign exchange and other students from 50 per month to 200 per month',1.0,107
'to prohibit retroactive federal income tax rate increases',1.0,107
'to amend the internal revenue code of 1986 to repeal the adjusted gross income limitations on itemized deductions the personal exemption deduction and the child tax credit and to repeal the alternative minimum tax on individuals',1.0,107
'to amend the internal revenue code of 1986 to provide an exclusion for gain from the sale of farmland which is similar to the exclusion from gain on the sale of a principal residence',1.0,107
'to amend the internal revenue code of 1986 to allow individuals an exlusion from gross income for certain amounts of capital gains distributions from regulated investment companies',1.0,107
'to provide for the determination of withholding tax rates under the guam income tax',1.0,107
'to amend the internal revenue code of 1986 to allow a deduction for state sales taxes in lieu of state and local income taxes',1.0,107
'to repeal the federal estate and gift taxes and the tax on generationskipping transfers',1.0,107
'to provide for the establishment of a commission to review and make recommendations to congress on the reform and simplification of the internal revenue code of 1986',1.0,107
'to amend the internal revenue code of 1986 with respect to nonprofit organizations',1.0,107
'to amend the internal revenue code of 1986 to expand the child tax credit',1.0,107
'to amend the internal revenue code of 1986 to provide an inflation adjustment of the dollar limitation on the exclusion of gain on the sale of a principal residence',1.0,107
'to amend the internal revenue code of 1986 to exempt from income tax the gain from the sale of a business closely held by an individual who has attained age 62 and for other purposes',1.0,107
'to amend the internal revenue code of 1986 to repeal the alternative minimum tax',1.0,107
'to amend the internal revenue code of 1986 to reduce individual income tax rates by 30 percent',1.0,107
'to amend the internal revenue code of 1986 to eliminate the marriage penalty in the income tax rates and standard deduction and to reduce individual income tax rates',1.0,107
'to amend the internal revenue code of 1986 to exclude from the gross estate the value of certain works of artistic property created by the decedent',1.0,107
'to amend the internal revenue code of 1986 to simplify the 500 per child tax credit and other individual nonrefundable credits by repealing the complex limitations on the allowance of those credits resulting from their interaction with the al',1.0,107
'to amend the internal revenue code of 1986 to allow all taxpayers a credit against income tax for up to 200 of charitable contributions',1.0,107
'to amend the internal revenue code of 1986 to reduce estate and gift tax rates to 30 percent to increase the exclusion equivalent of the unified credit to 10000000 and to increase the annual gift tax exclusion to 50000',1.0,107
'to amend the internal revenue code of 1986 to restore the deduction for the travel expenses of a taxpayers spouse who accompanies the taxpayer on business travel',1.0,107
'to amend the internal revenue code of 1986 to increase to 10000000 the maximum estate tax deduction for familyowned business interests',1.0,107
'to amend the internal revenue code of 1986 to make permanent the tax reductions enacted by the economic growth and tax relief reconciliation act of 2001 and to protect taxpayers and ensure accountability of the internal revenue service',1.0,107
'to amend the internal revenue code of 1986 to allow personal exemptions for individuals against the alternative minimum tax',1.0,107
'to amend the internal revenue code of 1986 to apply the lookthru rules for purposes of the foreign tax credit limitation to dividends from foreign corporations not controlled by a domestic corporation',1.0,107
'to amend the internal revenue code of 1986 to eliminate the marriage penalty in the standard deduction',1.0,107
'to amend the internal revenue code of 1986 to increase the unified credit to an exclusion equivalent of 5000000',1.0,107
'to amend the internal revenue code of 1986 to waive the income inclusion on a distribution from an individual retirement account to the extent that the distribution is contributed for charitable purposes',1.0,107
'to amend the internal revenue code of 1986 to exempt the deduction for charitable contributions from the phaseout of itemized deductions',1.0,107
'to amend the internal revenue code of 1986 to allow nonitemizers a deduction for a portion of their charitable contributions',1.0,107
'to amend the internal revenue code of 1986 to repeal the estate and gift tax',1.0,107
'to amend the internal revenue code of 1986 to eliminate taxes on capital gains after december 31 2004',1.0,107
'to amend the internal revenue code of 1986 to repeal the 2 percent excise tax on the net investment income of taxexempt foundations',1.0,107
'to amend the internal revenue code of 1986 to allow individuals who do not itemize their deductions a deduction for a portion of their charitable contributions and for other purposes',1.0,107
'to amend the internal revenue code of 1986 to provide a shorter recovery period for the depreciation of certain restaurant buildings',1.0,107
'to amend the internal revenue code of 1986 to phaseout the alternative minimum tax on individuals',1.0,107
'to amend the internal revenue code of 1986 to provide individual and corporate income tax rate reductions',1.0,107
'to amend the internal revenue code of 1986 to provide individual income tax rate reductions',1.0,107
'to amend the internal revenue code of 1986 to provide individual income tax rate reductions and to repeal the phaseouts of the deduction for personal exemptions and of itemized deductions',1.0,107
'to amend the internal revenue code of 1986 to restore the exclusion from gross income for damage awards for emotional distress',1.0,107
'to amend the internal revenue code of 1986 to exclude from gross income gain on the sale or exchange of certain farmland the use of which is restricted in perpetuity to use as farmland',1.0,107
'to amend the internal revenue code of 1986 to exclude from estate taxes the value of certain farmland the use of which is restricted in perpetuity to use as farmland',1.0,107
'to amend the internal revenue code of 1986 to provide that the exclusion of gain on sale of a principal residence shall apply to certain farmland sold with the principal residence',1.0,107
'to amend the internal revenue code of 1986 to reduce individual income tax rates and increase the standard deduction',1.0,107
'to amend the internal revenue code of 1986 to repeal the occupational taxes relating to distilled spirits wine and beer',1.0,107
'to amend the internal revenue code of 1986 to repeal the dollar limitation on contributions to funeral trusts',1.0,107
'to amend the internal revenue code of 1986 to provide that longterm vehicle storage by taxexempt organizations which conduct county and similar fairs shall not be treated as an unrelated trade or business',1.0,107
'to amend the internal revenue code of 1986 to treat gold silver and platinum in either coin or bar form in the same manner as stocks and bonds for purposes of the maximum capital gains rate for individuals',1.0,107
'to amend the internal revenue code of 1986 to provide a shorter recovery period for the depreciation of certain leasehold improvements',1.0,107
'to promote freedom fairness and economic opportunity for families by reducing the power and reach of the federal establishment',1.0,107
'to amend the internal revenue code of 1986 to allow all taxpayers who maintain households with dependents a credit for dependents',1.0,107
'to amend the internal revenue code of 1986 to exclude from gross income gain on the sale of a family farming business to a family member',1.0,107
'to amend the internal revenue code of 1986 to permit a husband and wife to file a combined return to which separate tax rates apply',1.0,107
'to amend the internal revenue code of 1986 to allow state and local taxes to be deducted in computing the alternative minimum tax',1.0,107
'to amend the internal revenue code of 1986 to allow individuals a refund of up to 5 percent of the income tax otherwise payable for taxable year 2000',1.0,107
'to amend the internal revenue code of 1986 to repeal the limitation on the estate tax deduction for familyowned business interests',1.0,107
'to amend the internal revenue code of 1986 to restore a 100 percent deduction for business meals and entertainment and to restore the deduction for the travel expenses of a taxpayers spouse who accompanies the taxpayer on business travel',1.0,107
'to amend the internal revenue code of 1986 to allow individuals a refund of 5 percent of the income tax otherwise payable for taxable year 1999',1.0,107
'to amend the internal revenue code of 1986 to reduce the holding period for longterm capital gain treatment to 6 months',1.0,107
'to amend the internal revenue code of 1986 to provide individual income tax rate reductions tax relief to families with children marriage penalty relief and to immediately eliminate the estate tax for twothirds of all decedents currently su',1.0,107
'to amend the internal revenue code of 1986 to include wireless telecommunications equipment in the definition of qualified technological equipment for purposes of determining the depreciation treatment of such equipment',1.0,107
'to amend the internal revenue code of 1986 to allow taxpayers using the income forecast method of depreciation to treat costs contingent on income in the same manner as fixed costs to the extent determined by reference to the estimated income u',1.0,107
'to amend the internal revenue code of 1986 to reduce estate tax rates by 20 percent to increase the unified credit against estate and gift taxes to the equivalent of a 2500000 exclusion and to provide an inflation adjustment of such amount',1.0,107
'to amend the internal revenue code of 1986 to reduce and simplify the estate tax',1.0,107
'to amend the internal revenue code of 1986 to apply the capital gains tax rates to capital gains earned by designated settlement funds',1.0,107
'to amend the internal revenue code of 1986 to clarify the rules relating to lessee construction allowances and to contributions to the capital of retailers',1.0,107
'to amend the internal revenue code of 1986 to reduce the tax on beer to its pre1991 level',1.0,107
'to amend the internal revenue code of 1986 to clarify that qualified personal service corporations may continue to use the cash method of accounting and for other purposes',1.0,107
'to amend the internal revenue code of 1986 to extend the period for filing for a credit or refund of individual income taxes to 7 years',1.0,107
'to amend the internal revenue code of 1986 to reduce individual captial gains rates',1.0,107
'to amend the internal revenue code of 1986 to permanently extend the subpart f exemption for active financing income',1.0,107
'to amend the internal revenue code of 1986 to expand and extend the ability of certain exempt organizations to avoid recognizing a gain on the sale of property used directly in the performance of an exempt function',1.0,107
'to restore to taxpayers awareness of the true cost of government by eliminating the withholding of income taxes by employers and requiring individuals to pay income taxes in monthly installments and for other purposes',1.0,107
'to amend the internal revenue code of 1986 to provide that transfers of familyowned business interests shall be exempt from estate taxation',1.0,107
'to amend the internal revenue code of 1986 to allow qualified technological equipment and computer software to be expensed and for other purposes',1.0,107
'to amend the internal revenue code of 1986 to reduce the maximum estate and gift tax rate to 45 percent to replace the unified credit against the estate and gift tax with a unified exemption amount and to increase the gift exclusion amount',1.0,107
'to amend the internal revenue code of 1986 to increase the unified credit against estate and gift taxes to the equivalent of a 5000000 exclusion and to provide an inflation adjustment of such amount',1.0,107
'to clarify the tax treatment of bonds and other obligations issued by the government of american samoa',1.0,107
'to amend the internal revenue code of 1986 to classify certain franchise operation property as 15year depreciable property',1.0,107
'to amend the internal revenue code of 1986 to impose an excise tax on persons who acquire structured settlement payments in factoring transactions and for other purposes',1.0,107
'to amend the internal revenue code of 1986 to clarify the treatment for foreign tax credit limitation purposes of certain transfers of intangible property',1.0,107
'to change the deadline for income tax returns for calendar year taxpayers from the 15th of april to the first monday in november',1.0,107
'to amend the internal revenue code of 1986 to repeal the limitation on the use of foreign tax credits under the alternative minimum tax',1.0,107
'to amend the internal revenue code of 1986 to eliminate the marriage penalty with regard to income limits for the ira deduction for active participants in pension plans',1.0,107
'to amend the internal revenue code of 1986 to increase the limitation on capital losses applicable to individuals',1.0,107
'to establish a commission to study and make recommendations on marginal tax rates for the working poor',1.0,107
'to amend the internal revenue code of 1986 to increase the amount excluded from gain on the sale of a principal residence for both single and joint filers to 1000000',1.0,107
'to amend the internal revenue code of 1986 to repeal the personal holding company tax',1.0,107
'to amend the internal revenue code of 1986 to treat charitable remainder pet trusts in a similar manner as charitable remainder annuity trusts and charitable remainder unitrusts',1.0,107
'to amend the internal revenue code of 1986 to more accurately codify the depreciable life of semiconductor manufacturing equipment',1.0,107
'to amend the internal revenue code of 1986 to provide 5year depreciation for certain horses placed in service after attaining age 7',1.0,107
'to amend the internal revenue code of 1986 to allow the capital loss deduction with respect to the sale or exchange of an individuals principal residence',1.0,107
'to provide that no federal income tax shall be imposed on amounts received by victims of the nazi regime or their heirs or estates and for other purposes',1.0,107
'to amend the internal revenue code of 1986 to allow distilled spirits wholesalers a credit against income tax for their cost of carrying federal excise taxes prior to the sale of the product bearing the tax',1.0,107
'to amend the internal revenue code of 1986 to reduce the rate of tax on distilled spirits to its pre1985 level',1.0,107
'to amend the internal revenue code of 1986 to eliminate the tax on the net capital gain of taxpayers other than corporations',1.0,107
'to make the repeal of the estate tax permanent',1.0,107
'to provide for an election to exchange researchrelated tax benefits for a refundable tax credit for the recapture of refunds in certain circumstances and for other purposes',1.0,107
'to make the income tax rate reductions in the economic growth and tax relief reconciliation act of 2001 permanent',1.0,107
'to amend the internal revenue code of 1986 to provide that the unearned income of children attributable to personal injury awards shall not be taxed at the marginal rate of the parents',1.0,107
'to amend the internal revenue code of 1986 to allow a deduction for contributions to individual investment accounts and for other purposes',1.0,107
'to amend the internal revenue code of 1986 to permit cooperatives to pay dividends on preferred stock without reducing patronage dividends',1.0,107
'to amend the internal revenue code of 1986 to provide a temporary reduction in the maximum capital gains rate from 20 percent to 15 percent',1.0,107
'to amend the internal revenue code of 1986 to repeal the income taxation of corporations to impose a 10 percent tax on the earned income and only the earned income of individuals to repeal the estate and gift taxes to provide amnesty for a',1.0,107
'to make permanent the tax benefits enacted by the economic growth and tax relief reconciliation act of 2001',1.0,107
'to repeal the sunset of the provisions of the economic growth and tax relief reconciliation act of 2001',1.0,107
'to amend the internal revenue code of 1986 to treat certain motor vehicle dealer transitional assistance as an involuntary conversion and for other purposes',1.0,107
'to amend the internal revenue code of 1986 to allow advanced applied technology equipment to be expensed and to reduce the depreciation recovery periods for certain other property',1.0,107
'to amend the internal revenue code of 1986 to curb tax abuses by disallowing tax benefits claimed to arise from transactions without substantial economic substance and for other purposes',1.0,107
'to promote freedom fairness and economic opportunity by repealing the income tax and other taxes abolishing the internal revenue service and enacting a national sales tax to be administered primarily by the states',1.0,107
'to make permanent the moratorium enacted by the internet tax freedom act and for other purposes',1.0,107
'to amend the internal revenue code of 1986 to provide a revenueneutral simplification of the individual income tax',1.0,107
'to accelerate the repeal of the estate and generationskipping transfer taxes and the reduction in the maximum gift tax rate',1.0,107
'to amend the internal revenue code of 1986 to deny any deduction for certain gifts and benefits provided to physicians by prescription drug manufacturers',1.0,107
'to amend the internal revenue code of 1986 to allow a deduction for state and local sales taxes in lieu of state and local income taxes',1.0,107
'to terminate the internal revenue code of 1986',1.0,107
'to promote freedom fairness and economic opportunity for families by repealing the income tax abolishing the internal revenue service and enacting a national retail sales tax to be administered primarily by the states',1.0,107
'to amend the internal revenue code of 1986 to classify qualified rental office furniture as 5year property for purposes of depreciation',1.0,107
'to amend the internal revenue code of 1986 to provide tax benefits for small businesses to repeal the federal communications excise tax and for other purposes',1.0,107
'to amend the economic growth and tax relief reconciliation act of 2001 to change the october 1 2001 due date for corporate estimated taxes to september 24 2001',1.0,107
'an act to amend the internal revenue code of 1986 to provide tax relief for victims of the terrorist attacks against the united states and for other purposes',1.0,107
'to amend the internal revenue code of 1986 to impose a 20 percent rate of tax on taxable estates and gifts',1.0,107
'to review reform and terminate unnecessary and inequitable federal payments benefits services and tax advantages',1.0,107
'to amend the internal revenue code of 1986 to restore a partial deduction for personal interest and thereby to encourage economic recovery and to avoid the need to borrow against home equity',1.0,107
'to amend the internal revenue code of 1986 to allow businesses to expense qualified security devices',1.0,107
'to amend the internal revenue code of 1986 to modify the highest marginal income tax rates and to increase the estate tax deduction for familyowned business interests to repeal certain sections of the economic growth and tax relief reconcilia',1.0,107
'to amend the internal revenue code of 1986 to provide a refund of up to 300 to individuals for payroll taxes paid in 2000',1.0,107
'to amend the internal revenue code of 1986 to reduce the maximum capital gains rate from 20 percent to 15 percent',1.0,107
'to amend the internal revenue code of 1986 to provide that the deduction for depreciation shall be computed on a neutral cost recovery basis',1.0,107
'to amend the internal revenue code of 1986 to make effective as of january 1 2001 all of the individual income tax rate reductions and to amend the economic growth and tax relief reconciliation act of 2001 to repeal the sunset of such rate r',1.0,107
'to amend the internal revenue code of 1986 to index the basis of assets acquired after december 31 2001 for purposes of determining gain',1.0,107
'to amend the internal revenue code of 1986 to restore the 80 percent deduction for meals and entertainment expenses',1.0,107
'to provide tax incentives for economic recovery',1.0,107
'to amend the internal revenue code of 1986 to classify office furniture as 5year property for purposes of accelerated depreciation',1.0,107
'to amend the internal revenue code of 1986 to make permanent the increase in the cover over of tax on distilled spirits to puerto rico and the virgin islands',1.0,107
'to amend the internal revenue code of 1986 to make a technical correction to the definition of hard cider for purposes of the excise tax on alcohol',1.0,107
'to amend the internal revenue code of 1986 to provide for capital gains treatment for certain termination payments received by former insurance salesmen',1.0,107
'to amend the internal revenue code of 1986 to provide a temporary incentive for investing in tangible property in the united states',1.0,107
'to amend the internal revenue code of 1986 to allow distilled spirits to be produced in dwelling houses other connected structures and certain other premises',1.0,107
'to amend the internal revenue code of 1986 to expand the offset against overpayments to include all state and local taxes owed by any person whether or not a resident of the state seeking the offset and for other purposes',1.0,107
'to amend the internal revenue code of 1986 to provide a credit against income tax for costs of travel for purposes of making retail purchases in states that do not impose sales tax',1.0,107
'to amend the internal revenue code of 1986 to increase the standard mileage rates during 2001 for certain deductions for use of a passenger automobile to 50 cents per mile',1.0,107
'to amend the internal revenue code of 1986 to repeal the disallowance of the marital deduction where the spouse is not a united states citizen for purposes of estate and gift taxes',1.0,107
'to promote charitable giving and for other purposes',1.0,107
'to amend the internal revenue code of 1986 to allow a 1000 refundable credit for individuals who are active members of volunteer firefighting and emergency medical service organizations',1.0,107
'to amend the internal revenue code of 1986 to treat nominally foreign corporations created through inversion transactions as domestic corporations',1.0,107
'to amend the internal revenue code of 1986 to authorize the secretary of the treasury to provide a onetime abatement of interest on an underpayment or nonpayment of income tax for reasonable cause',1.0,107
'to provide that the marriage penalty relief provisions of the economic growth and tax relief reconciliation act of 2001 shall be permanent',1.0,107
'to amend the internal revenue code of 1986 to simplify certain rules relating to the taxation of united states businesses operating abroad and for other purposes',1.0,107
'to amend the internal revenue code of 1986 to provide for an increase in expensing under section 179',1.0,107
'to amend the internal revenue code of 1986 to clarify that the parsonage allowance exclusion is limited to the fair rental value of the property',1.0,107
'to amend the internal revenue code of 1986 to repeal estate gift and generationskipping transfer taxes',1.0,107
'to amend the internal revenue code of 1986 to clarify the treatment of frequent flyer mileage awards',1.0,107
'to amend the internal revenue code of 1986 to provide for regional cost of living adjustments',1.0,107
'to amend the internal revenue code of 1986 to allow residents of states with no income tax a deduction for state and local sales taxes',1.0,107
'to amend the unrelated business taxable income provisions of the internal revenue code of 1986',1.0,107
'to amend the internal revenue code of 1986 to accelerate the marriage penalty relief in the standard deduction and to modify the work opportunity credit and the welfaretowork credit',1.0,107
'to review reform and terminate unnecessary and inequitable federal subsidies',1.0,107
'to amend the internal revenue code of 1986 to provide for installment reporting of certain gain from the sale of an interest in service business',1.0,107
'to amend the internal revenue code of 1986 to modify the unrelated business income limitation on investment in certain debtfinanced properties',1.0,107
'to amend the internal revenue code of 1986 to allow a deduction from gross income to individuals who do not itemize deductions',1.0,107
'to amend the internal revenue code of 1986 to prevent the continued use of renouncing united states citizenship as a device for avoiding united states taxes',1.0,107
'to promote state historic tax credits',1.0,107
'to provide that the individual income tax rate reductions of the economic growth and tax relief reconciliation act of 2001 shall be permanent',1.0,107
'to amend the internal revenue code of 1986 to allow a 10year foreign tax credit carryforward',1.0,107
'to amend the internal revenue code of 1986 to limit the applicability of the estate tax to estates of over 3500000 and for other purposes',1.0,107
'to provide that for taxable years beginning before 1980 the federal income tax deductibility of flight training expenses shall be determined without regard to whether such expenses were reimbursed through certain veterans educational assistance',1.0,107
'to provide that the marriage penalty relief provisions of the economic growth and tax relief reconciliation act of 2001 shall be permanent whenever the actual onbudget budget of the government is in balance or surplus and the director of the o',1.0,107
'to amend the internal revenue code of 1986 to improve and simplify compliance with the internal revenue laws and for other purposes',1.0,107
'to overrule united states v fior ditalia inc',1.0,107
'to simplify the internal revenue code of 1986',1.0,107
'to amend the internal revenue code of 1986 to increase the age limit for the child tax credit',1.0,107
'to amend the internal revenue code of 1986 to increase the limitation on capital losses an individual may deduct against ordinary income and to adjust such amount for inflation',1.0,107
'to amend the internal revenue code of 1986 to allow a minimum deduction for business use of a home and for other purposes',1.0,107
'to amend the internal revenue code of 1986 to increase the standard mileage rate for charitable purposes to the standard mileage rate established by the secretary of the treasury for business purposes',1.0,107
'to clarify the tax status of the young mens christian association retirement fund',1.0,107
'to amend the internal revenue code of 1986 to provide a refundable credit for state and local real and personal property taxes paid by individuals',1.0,107
'to amend the internal revenue code of 1986 to eliminate the double taxation of dividends',1.0,107
'to amend the internal revenue code of 1986 to encourage saving and investment and for other purposes',1.0,107
'to amend the internal revenue code of 1986 to increase the amount of capital losses that may offset ordinary income',1.0,107
'to amend the internal revenue code of 1986 to give a deduction to corporations for dividends paid and to exclude dividends from gross income',1.0,107
'to amend the internal revenue code of 1986 to allow a dividends paid deduction',1.0,107
'to amend the internal revenue code of 1986 to simplify and reduce the capital gain rates for all taxpayers and to exclude from gross income 55 percent of the dividends received by individuals and for other purposes',1.0,107
'to simplify certain provisions of the internal revenue code of 1986 and to establish a uniform passthru regime',1.0,107
'to amend the internal revenue code of 1986 to provide fairness in tax collection procedures',1.0,107
'to amend the internal revenue code of 1986 to reform its penalty and interest provisions',1.0,107
'to amend the internal revenue code of 1986 to allow corporations to claim a charitable deduction for the donation of services related to contributions of computer technology or equipment',1.0,107
'to amend the internal revenue code of 1986 to revise the tax treatment of derivative transactions entered into by a corporation with respect to its stock',1.0,107
'to amend the internal revenue code of 1986 to make technical corrections and for other purposes',1.0,107
'to amend the internal revenue code of 1986 to provide that the foreign tax credit not be redetermined with respect to refunds of unlawful foreign taxes to taxpayers who successfully challenge those taxes',1.0,107
'to amend the emergency steel loan guarantee act of 1999 to provide for increased loan guarantees for steel companies under that act and for other purposes',1.0,108
'to require the director of the national institute of standards and technology to assist small and mediumsized manufacturers and other such businesses to successfully integrate and utilize electronic commerce technologies and business practices',1.0,108
'to provide certain safeguards with respect to the domestic steel industry',1.0,108
'to provide that for purposes of making determinations for certain trade remedies and trade adjustment assistance imported semifinished steel slabs and taconite pellets produced in the united states shall be considered to be articles like or',1.0,108
'to amend the emergency steel loan guarantee act of 1999 to prohibit steel companies receiving loan guarantees from investing the loan proceeds in foreign steel companies and using the loan proceeds to import steel products from foreign countrie',1.0,108
'to expand the manufacturing extension program to bring the new economy to small and mediumsized businesses',1.0,108
'to amend the defense production act of 1950 to establish the national defense preparedness domestic industrial base board and for other purposes',1.0,108
'to amend the emergency steel loan guarantee act of 1999 to revise eligibility and other requirements for loan guarantees under that act',1.0,108
'to amend the emergency steel loan guarantee act of 1999 to clarify the definition of qualified steel company under that act',1.0,108
'to amend the emergency steel loan guarantee act of 1999 to revise eligibility and other requirements for loan guarantees under that act and for other purposes',1.0,108
'to remedy certain effects of injurious steel imports by protecting benefits of steel industry retirees and encouraging the strengthening of the american steel industry',1.0,108
'to repeal section 801 of the revenue act of 1916',1.0,108
'to amend the internal revenue code of 1986 to deny the exemption from income tax for social clubs found to be practicing prohibited discrimination',2.0,200
'to amend title 4 united states code to declare english as the official language of the government of the united states and for other purposes',2.0,200
'to amend title vii of the civil rights act of 1964 the age discrimination in employment act of 1967 the americans with disabilities act of 1990 the vocational rehabilitation act of 1973 and the civil rights act of 1991 to require the equal',2.0,200
'to ensure that no alien is removed denied a benefit under the immigration and nationality act or otherwise deprived of liberty based on evidence that is kept secret from the alien',2.0,200
'to amend title vii of the civil rights act of 1964 to make such title fully applicable to the judicial branch of the federal government',2.0,200
'to amend the fair labor standards act of 1938 to prohibit discrimination in the payment of wages on account of sex race or national origin and for other purposes',2.0,200
'to amend certain federal civil rights statutes to prevent the involuntary application of arbitration to claims that arise from unlawful employment discrimination based on race color religion sex national origin age or disability and for',2.0,200
