vote,subtopic1,subtopic2,subtopic3,topic1,topic2,topic3,anom
111 Congress:s3217:124:2010-04-26,"Banking, Finance, and Domestic Commerce:U.S. Banking System and Financial Institution Regulation",NONE,NONE,"Banking, Finance, and Domestic Commerce",NONE,NONE,no
111 Congress:s3217:125:2010-04-26,"Banking, Finance, and Domestic Commerce:U.S. Banking System and Financial Institution Regulation",NONE,NONE,"Banking, Finance, and Domestic Commerce",NONE,NONE,no
111 Congress:s3217:126:2010-04-27,"Banking, Finance, and Domestic Commerce:U.S. Banking System and Financial Institution Regulation",NONE,NONE,"Banking, Finance, and Domestic Commerce",NONE,NONE,no
111 Congress:s3217:127:2010-04-28,"Banking, Finance, and Domestic Commerce:U.S. Banking System and Financial Institution Regulation",NONE,NONE,"Banking, Finance, and Domestic Commerce",NONE,NONE,no
111 Congress:s3217:133:2010-05-06,"Banking, Finance, and Domestic Commerce:U.S. Banking System and Financial Institution Regulation",NONE,NONE,"Banking, Finance, and Domestic Commerce",NONE,NONE,no
111 Congress:s3217:135:2010-05-06,"Banking, Finance, and Domestic Commerce:Consumer Finance, Mortgages, and Credit Cards",NONE,NONE,"Banking, Finance, and Domestic Commerce",NONE,NONE,no
111 Congress:s3217:136:2010-05-06,"Banking, Finance, and Domestic Commerce:U.S. Banking System and Financial Institution Regulation",NONE,NONE,"Banking, Finance, and Domestic Commerce",NONE,NONE,no
111 Congress:s3217:138:2010-05-11,"Banking, Finance, and Domestic Commerce:Small Business Issues and the Small Business Administration",NONE,NONE,"Banking, Finance, and Domestic Commerce",NONE,NONE,no
111 Congress:s3217:139:2010-05-11,Government Operations:General (includes budget requests and appropriations for multiple departments and agencies),NONE,NONE,Government Operations,NONE,NONE,no
111 Congress:s3217:140:2010-05-11,Energy:Nuclear Energy and Nuclear Regulatory Commission Issues,NONE,NONE,Energy,NONE,NONE,no
111 Congress:s3217:141:2010-05-12,"Banking, Finance, and Domestic Commerce:Consumer Safety and Consumer Fraud",NONE,NONE,"Banking, Finance, and Domestic Commerce",NONE,NONE,no
111 Congress:s3217:142:2010-05-12,"Banking, Finance, and Domestic Commerce:Consumer Finance, Mortgages, and Credit Cards",NONE,NONE,"Banking, Finance, and Domestic Commerce",NONE,NONE,no
