vote,subtopic1,subtopic2,subtopic3,topic1,topic2,topic3,anom
111 Congress:s3985:267:2010-12-08,Social Welfare:Elderly Issues and Elderly Assistance Programs (Including Social Security Administration),NONE,NONE,Social Welfare,NONE,NONE,no
111 Congress:s3991:266:2010-12-08,NONE,NONE,NONE,NONE,NONE,NONE,no
111 Congress:s454:254:2009-05-13,"Defense:DOD Civilian Personnel, Civilian Employment by the Defense Industry, Military Base Closings",NONE,NONE,Defense,NONE,NONE,no
111 Congress:s510:250:2010-11-17,Agriculture:Food Inspection and Safety (including seafood),NONE,NONE,Agriculture,NONE,NONE,no
111 Congress:s510:251:2010-11-18,Agriculture:Food Inspection and Safety (including seafood),NONE,NONE,Agriculture,NONE,NONE,no
111 Congress:s510:252:2010-11-29,NONE,NONE,NONE,NONE,NONE,NONE,no
111 Congress:s510:254:2010-11-29,Agriculture:Food Inspection and Safety (including seafood),NONE,NONE,Agriculture,NONE,NONE,no
111 Congress:s510:256:2010-11-30,NONE,NONE,NONE,NONE,NONE,NONE,no
111 Congress:s510:257:2010-11-30,Agriculture:Food Inspection and Safety (including seafood),NONE,NONE,Agriculture,NONE,NONE,no
111 Congress:s896:174:2009-04-30,Community Development and Housing Issues:Secondary Mortgage Market,NONE,NONE,Community Development and Housing Issues,NONE,NONE,no
111 Congress:s896:177:2009-05-04,Community Development and Housing Issues:Low and Middle Income Housing Programs and Needs,NONE,NONE,Community Development and Housing Issues,NONE,NONE,no
111 Congress:s896:178:2009-05-05,"Law, Crime, and Family Issues:Illegal Drug Production, Trafficking, and Control",NONE,NONE,"Law, Crime, and Family Issues",NONE,NONE,no
111 Congress:s896:179:2009-05-05,Social Welfare:Assistance to the Disabled and Handicapped,NONE,NONE,Social Welfare,NONE,NONE,no
111 Congress:s896:181:2009-05-05,NONE,NONE,NONE,NONE,NONE,NONE,no
111 Congress:s896:182:2009-05-06,Community Development and Housing Issues:Low and Middle Income Housing Programs and Needs,NONE,NONE,Community Development and Housing Issues,NONE,NONE,no
111 Congress:s896:184:2009-05-06,"Government Operations:Government Employee Benefits, Civil Service Issues",NONE,NONE,Government Operations,NONE,NONE,no
111 Congress:s896:271:2009-05-19,"Banking, Finance, and Domestic Commerce:Consumer Finance, Mortgages, and Credit Cards",NONE,NONE,"Banking, Finance, and Domestic Commerce",NONE,NONE,no
111 Congress:s987:645:2010-12-16,International Affairs and Foreign Aid:General (Department of State and U.S. Information Agency appropriations),NONE,NONE,International Affairs and Foreign Aid,NONE,NONE,no
111 Congress:sc13:116:2009-03-31,Energy:Natural Gas and Oil (Including Offshore Oil and Gas),NONE,NONE,Energy,NONE,NONE,no
111 Congress:sc13:117:2009-03-31,Energy:Natural Gas and Oil (Including Offshore Oil and Gas),NONE,NONE,Energy,NONE,NONE,no
111 Congress:sc13:118:2009-03-31,Macroeconomics:National Budget and Debt,NONE,NONE,Macroeconomics,NONE,NONE,no
111 Congress:sc13:119:2009-04-01,Macroeconomics:National Budget and Debt,NONE,NONE,Macroeconomics,NONE,NONE,no
111 Congress:sc13:122:2009-04-01,Education:Higher Education,NONE,NONE,Education,NONE,NONE,no
111 Congress:sc13:123:2009-04-01,"Defense:Military Nuclear and Hazardous Waste Disposal, Military Environmental Compliance",NONE,NONE,Defense,NONE,NONE,no
111 Congress:sc13:125:2009-04-01,NONE,NONE,NONE,NONE,NONE,NONE,no
111 Congress:sc13:127:2009-04-01,Health:Research and development,NONE,NONE,Health,NONE,NONE,no
111 Congress:sc13:128:2009-04-02,Health:Prescription drug coverage and costs,NONE,NONE,Health,NONE,NONE,no
111 Congress:sc13:129:2009-04-02,NONE,NONE,NONE,NONE,NONE,NONE,no
111 Congress:sc13:133:2009-04-02,NONE,NONE,NONE,NONE,NONE,NONE,no
111 Congress:sc13:134:2009-04-02,Macroeconomics:National Budget and Debt,NONE,NONE,Macroeconomics,NONE,NONE,no
111 Congress:sc13:139:2009-04-02,Macroeconomics:National Budget and Debt,NONE,NONE,Macroeconomics,NONE,NONE,no
111 Congress:sc13:141:2009-04-02,Environment:Research and Development,NONE,NONE,Environment,NONE,NONE,no
111 Congress:sc13:143:2009-04-02,Macroeconomics:National Budget and Debt,NONE,NONE,Macroeconomics,NONE,NONE,no
111 Congress:sc13:147:2009-04-02,"Macroeconomics:Taxation, Tax policy, and Tax Reform",NONE,NONE,Macroeconomics,NONE,NONE,no
111 Congress:sc13:148:2009-04-02,Education:Special Education,NONE,NONE,Education,NONE,NONE,no
111 Congress:sc13:149:2009-04-02,Government Operations:General (includes budget requests and appropriations for multiple departments and agencies),NONE,NONE,Government Operations,NONE,NONE,no
111 Congress:sc13:151:2009-04-02,"Banking, Finance, and Domestic Commerce:Consumer Safety and Consumer Fraud",NONE,NONE,"Banking, Finance, and Domestic Commerce",NONE,NONE,no
111 Congress:sc13:152:2009-04-02,"Health:Insurance reform, availability, and cost",NONE,NONE,Health,NONE,NONE,no
111 Congress:sc13:163:2009-04-23,Macroeconomics:National Budget and Debt,NONE,NONE,Macroeconomics,NONE,NONE,no
111 Congress:sc13:164:2009-04-23,Macroeconomics:National Budget and Debt,NONE,NONE,Macroeconomics,NONE,NONE,no
111 Congress:sc13:167:2009-04-23,Macroeconomics:National Budget and Debt,NONE,NONE,Macroeconomics,NONE,NONE,no
111 Congress:sc13:168:2009-04-23,Macroeconomics:National Budget and Debt,NONE,NONE,Macroeconomics,NONE,NONE,no
111 Congress:sc13:216:2009-04-29,Macroeconomics:National Budget and Debt,NONE,NONE,Macroeconomics,NONE,NONE,no
111 Congress:sc31:464:2009-06-26,"Government Operations:Federal Government Branch Relations and Administrative Issues, Congressional Operations",NONE,NONE,Government Operations,NONE,NONE,no
111 Congress:sc72:633:2010-12-15,Community Development and Housing Issues:Low and Middle Income Housing Programs and Needs,NONE,NONE,Community Development and Housing Issues,NONE,NONE,no
111 Congress:sj30:239:2010-09-23,"Government Operations:Regulation of Political Campaigns, Political Advertising, PAC regulation, Voter Registration, Government Ethics",NONE,NONE,Government Operations,NONE,NONE,no
111 Congress:hc131:515:2009-07-09,Government Operations:Government Efficiency and Bureaucratic Oversight,NONE,NONE,Government Operations,NONE,NONE,no
111 Congress:hc133:282:2009-05-21,"Government Operations:Federal Government Branch Relations and Administrative Issues, Congressional Operations",NONE,NONE,Government Operations,NONE,NONE,no
111 Congress:hc163:736:2009-09-24,"Labor, Employment, and Immigration:Immigration and Refugee Issues",NONE,NONE,"Labor, Employment, and Immigration",NONE,NONE,no
111 Congress:hc172:676:2009-07-30,Government Operations:General (includes budget requests and appropriations for multiple departments and agencies),NONE,NONE,Government Operations,NONE,NONE,no
111 Congress:hc210:865:2009-11-06,Government Operations:Federal Holidays,NONE,NONE,Government Operations,NONE,NONE,no
111 Congress:hc214:896:2009-11-18,Government Operations:Federal Holidays,NONE,NONE,Government Operations,NONE,NONE,no
111 Congress:hc223:978:2009-12-16,"Government Operations:Federal Government Branch Relations and Administrative Issues, Congressional Operations",NONE,NONE,Government Operations,NONE,NONE,no
111 Congress:hc248:98:2010-03-10,Defense:Direct War Related Issues,NONE,NONE,Defense,NONE,NONE,no
111 Congress:hc257:108:2010-03-25,"Government Operations:Federal Government Branch Relations and Administrative Issues, Congressional Operations",NONE,NONE,Government Operations,NONE,NONE,no
111 Congress:hc257:178:2010-03-24,"Government Operations:Federal Government Branch Relations and Administrative Issues, Congressional Operations",NONE,NONE,Government Operations,NONE,NONE,no
111 Congress:hc282:306:2010-05-27,"Government Operations:Federal Government Branch Relations and Administrative Issues, Congressional Operations",NONE,NONE,Government Operations,NONE,NONE,no
111 Congress:hc293:409:2010-06-30,"Government Operations:Federal Government Branch Relations and Administrative Issues, Congressional Operations",NONE,NONE,Government Operations,NONE,NONE,no
111 Congress:hc301:473:2010-07-27,Defense:Direct War Related Issues,NONE,NONE,Defense,NONE,NONE,no
111 Congress:hc308:483:2010-07-29,Government Operations:Government Efficiency and Bureaucratic Oversight,NONE,NONE,Government Operations,NONE,NONE,no
111 Congress:hc321:248:2010-09-29,Government Operations:Federal Holidays,NONE,NONE,Government Operations,NONE,NONE,no
111 Congress:hc321:546:2010-09-29,Government Operations:Federal Holidays,NONE,NONE,Government Operations,NONE,NONE,no
111 Congress:hc332:572:2010-11-17,Government Operations:Federal Holidays,NONE,NONE,Government Operations,NONE,NONE,no
111 Congress:hc336:652:2010-12-17,"Government Operations:Federal Government Branch Relations and Administrative Issues, Congressional Operations",NONE,NONE,Government Operations,NONE,NONE,no
111 Congress:hc47:60:2009-02-11,"Government Operations:Federal Government Branch Relations and Administrative Issues, Congressional Operations",NONE,NONE,Government Operations,NONE,NONE,no
111 Congress:hc76:144:2009-03-19,"Banking, Finance, and Domestic Commerce:Domestic Disaster Relief",NONE,NONE,"Banking, Finance, and Domestic Commerce",NONE,NONE,no
111 Congress:hc85:189:2009-04-02,NONE,NONE,NONE,NONE,NONE,NONE,no
111 Congress:hc85:191:2009-04-02,NONE,NONE,NONE,NONE,NONE,NONE,no
111 Congress:hc85:192:2009-04-02,Macroeconomics:National Budget and Debt,NONE,NONE,Macroeconomics,NONE,NONE,no
111 Congress:hc93:183:2009-04-02,Government Operations:Relief of Claims Against the U.S. Government,NONE,NONE,Government Operations,NONE,NONE,no
111 Congress:hj101:593:2010-12-01,"Labor, Employment, and Immigration:Immigration and Refugee Issues",NONE,NONE,"Labor, Employment, and Immigration",NONE,NONE,no
111 Congress:hj3:27:2009-01-22,Community Development and Housing Issues:Veterans Housing Assistance and Military Housing Programs,NONE,NONE,Community Development and Housing Issues,NONE,NONE,no
111 Congress:hj38:109:2009-03-06,"Labor, Employment, and Immigration:Immigration and Refugee Issues",NONE,NONE,"Labor, Employment, and Immigration",NONE,NONE,no
111 Congress:hr1003:19:2010-01-26,Health:Research and development,NONE,NONE,Health,NONE,NONE,no
111 Congress:hr1017:9:2010-01-20,Public Lands and Water Management:Native American Affairs,NONE,NONE,Public Lands and Water Management,NONE,NONE,no
111 Congress:hr1031:262:2010-12-08,"Law, Crime, and Family Issues:Court Administration",NONE,NONE,"Law, Crime, and Family Issues",NONE,NONE,no
111 Congress:hr1031:263:2010-12-08,"Law, Crime, and Family Issues:Court Administration",NONE,NONE,"Law, Crime, and Family Issues",NONE,NONE,no
111 Congress:hr1031:264:2010-12-08,"Law, Crime, and Family Issues:Court Administration",NONE,NONE,"Law, Crime, and Family Issues",NONE,NONE,no
111 Congress:hr1031:265:2010-12-08,"Law, Crime, and Family Issues:Court Administration",NONE,NONE,"Law, Crime, and Family Issues",NONE,NONE,no
111 Congress:hr1038:20:2010-01-27,"Public Lands and Water Management:National Parks, Memorials, Historic Sites, and Recreation",NONE,NONE,Public Lands and Water Management,NONE,NONE,no
111 Congress:hr1041:197:2010-04-13,International Affairs and Foreign Aid:Soviet Union and Former Republics,NONE,NONE,International Affairs and Foreign Aid,NONE,NONE,no
111 Congress:hr1042:198:2010-04-13,Community Development and Housing Issues:General,NONE,NONE,Community Development and Housing Issues,NONE,NONE,no
111 Congress:hr1051:29:2010-02-03,NONE,NONE,NONE,NONE,NONE,NONE,no
111 Congress:hr1051:30:2010-02-03,NONE,NONE,NONE,NONE,NONE,NONE,no
111 Congress:hr1065:45:2010-02-04,"Government Operations:Regulation of Political Campaigns, Political Advertising, PAC regulation, Voter Registration, Government Ethics",NONE,NONE,Government Operations,NONE,NONE,no
